County,Name,Type,City,Zip,Latitude,Longitude
Contra Costa,Sequoia Middle,Middle,Pleasant Hill,94523,37.94476,-122.06672
Contra Costa,Gregory Gardens Elementary,Elementary,Pleasant Hill,94523,37.96046,-122.06818
Contra Costa,Marina Vista Elementary,Elementary,Pittsburg,94565,38.02941,-121.88579
Contra Costa,Martin Luther King Jr. Junior High,Middle,Pittsburg,94565,38.0155,-121.87092
Contra Costa,Black Diamond High (Continuation),Continuation,Pittsburg,94565,38.004885,-121.8744632
Contra Costa,Pittsburg Senior High,High,Pittsburg,94565,38.019299,-121.88201
Contra Costa,Heights Elementary,Elementary,Pittsburg,94565,38.00573,-121.89867
Contra Costa,Highlands Elementary,Elementary,Pittsburg,94565,37.99854,-121.88599
Contra Costa,Los Medanos Elementary,Elementary,Pittsburg,94565,38.01688,-121.9008
Contra Costa,Parkside Elementary,Elementary,Pittsburg,94565,38.0219,-121.90025
Contra Costa,Willow Cove Elementary,Elementary,Pittsburg,94565,38.024,-121.92647
Contra Costa,Hillview Junior High,Middle,Pittsburg,94565,38.00413,-121.88882
Contra Costa,Rancho Medanos Junior High,Middle,Pittsburg,94565,38.01597,-121.9127
Contra Costa,Foothill Elementary,Elementary,Pittsburg,94565,37.99527,-121.87525
